,Division,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Dhaka,Dhaka,23.779814950000002,90.36178191089084,BCS Computer City,23.778735829807466,90.37951422131788,Electronics Store
1,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Sher-e-Bangla National Cricket Stadium,23.80619562924477,90.36357879638672,Cricket Ground
2,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Russel Square (রাসেল স্কয়ার),23.75131211173661,90.37846340258716,Plaza
3,Dhaka,Dhaka,23.779814950000002,90.36178191089084,"Gloria Jeans Coffees, Dhanmondi",23.74986316951096,90.36870915340121,Coffee Shop
4,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Nando's,23.753044818952592,90.3697655247509,Portuguese Restaurant
5,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Tooth Planet Dental Clinic,23.74717439974381,90.37212450251877,Dentist's Office
6,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Bashundhara City Shopping Complex,23.751131,90.390854,Shopping Mall
7,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Star Cineplex,23.751411462050665,90.39071152582166,Multiplex
8,Dhaka,Dhaka,23.779814950000002,90.36178191089084,CaféCyclist,23.751097896566968,90.38574046341242,Bike Shop
9,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Drik Gallery,23.752379683658027,90.36997237339781,Art Gallery
10,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Movenpick,23.792333345661586,90.4153732543889,Ice Cream Shop
11,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Lucknow,23.79330067997599,90.40915661391679,Indian Restaurant
12,Dhaka,Dhaka,23.779814950000002,90.36178191089084,BFC,23.755495,90.375534,Fried Chicken Joint
13,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Loiter D85,23.791718897158677,90.40409477637613,Juice Bar
14,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Nordic Club,23.79807288797643,90.40996694294208,Gym / Fitness Center
15,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Bar-B-Q Tonite,23.752051006748985,90.36802116745663,BBQ Joint
16,Dhaka,Dhaka,23.779814950000002,90.36178191089084,unimart,23.795923525983053,90.41509168200336,Supermarket
17,Dhaka,Dhaka,23.779814950000002,90.36178191089084,North End Coffee Roasters,23.793627604936788,90.4243636378673,Café
18,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Izumi,23.788599314535148,90.42053610354871,Sushi Restaurant
19,Dhaka,Dhaka,23.779814950000002,90.36178191089084,"Kiva Han, Gulshan 1",23.781923,90.41586,Café
20,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Columbus coffee,23.790160229621424,90.4080981016159,Coffee Shop
21,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Aarong,23.758282791670332,90.37410210290383,Arts & Crafts Store
22,Dhaka,Dhaka,23.779814950000002,90.36178191089084,CapriCorn's Skywatch,23.750684456953255,90.39086868901256,Asian Restaurant
23,Dhaka,Dhaka,23.779814950000002,90.36178191089084,North End Coffee Roasters @ Cityscape Tower,23.78582613439328,90.41698591411128,Coffee Shop
24,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Taste,23.793325,90.41465,Café
25,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Star Kabab & Bakery,23.753075808636588,90.39209220304144,Restaurant
26,Dhaka,Dhaka,23.779814950000002,90.36178191089084,New Zealand Natural Bangladesh,23.791163757912585,90.4035886530116,Ice Cream Shop
27,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Dhaka Club,23.73887468354155,90.39734086589266,Nightclub
28,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Lobby of Radisson,23.816965716610238,90.40725129249225,Hotel Bar
29,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Sausly's Pantho Path,23.75275735959935,90.38230975485479,Bakery
30,Dhaka,Dhaka,23.779814950000002,90.36178191089084,BRAC Center,23.780192637019308,90.41018480098937,Office
31,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Tabaq,23.812955749079816,90.42387930210275,Coffee Shop
32,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Bistro E,23.796045849649897,90.41737287555931,Bistro
33,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Soi 71,23.80453921614479,90.41347092778884,Thai Restaurant
34,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Second Cup Coffee Company,23.793574175166118,90.40462430393767,Coffee Shop
35,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Baburchi Restaurant,23.74054355606105,90.37510899989165,Restaurant
36,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Bitter Sweet,23.79553188019069,90.41326759018301,Café
37,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Artisan,23.79398110967706,90.41114009014761,Clothing Store
38,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Burger Lab,23.812615,90.424544,Burger Joint
39,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Shawarma House,23.740686881476663,90.38271903991699,Shawarma Place
40,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Shimanta Square Food Court,23.738417412066998,90.3770722933282,Street Food Gathering
41,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Aarong Gulshan,23.77143061578526,90.41245931565017,Arts & Crafts Store
42,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Bella Italia,23.784032965015072,90.41708232398575,Italian Restaurant
43,Dhaka,Dhaka,23.779814950000002,90.36178191089084,Tehari Ghar,23.753634591761628,90.3767012726286,Asian Restaurant
